07000000;https://www.drmartens.com/us/en/accessories/c/07000000;Accessories | Dr. Martens Official;"
                    Dr. Martens accessories range from bags to clothing to shoe care. All manufactured with Docs-level durability, or designed to enhance it, in the case of shoe care. Shop our collection of accessories below. ";Accessories;/us/en/;Home
07576900;https://www.drmartens.com/us/en/accessories/bags/womens/c/07576900;Women's Bags & Backpacks | Dr. Martens Official;"
                    Authentic Dr. Martens durability, in the form of fashionable women's bags and backpacks. Because if you're going to carry your life around in a bag, it should be one that'll last. ";Womens Bags;/us/en/,/us/en/accessories/c/07000000,/us/en/accessories/bags/c/07570000;Home,ACCESSORIES,BAGS
07597600;https://www.drmartens.com/us/en/accessories/shoecare--laces-and-insoles/shoe-laces/c/07597600;Laces | Shoe Care | Dr. Martens Official;"
                    Customize your DMs with our collection of shoe laces. Striped or silky to round or flat, make sure you lace up the Docs way. Shop our shoe laces below. ";Shoe Laces;/us/en/,/us/en/accessories/c/07000000,/us/en/accessories/shoecare--laces-and-insoles/c/07590000;Home,ACCESSORIES,SHOECARE, LACES AND INSOLES
07597500;https://www.drmartens.com/us/en/accessories/shoecare--laces-and-insoles/shoe-care---cleaner/c/07597500;Shoe Care | Dr. Martens Official;"
                    Docs shoes stand the test of time. They age with you, stand tough with you, and Dr. Martens shoe care and shoe accessories range keep them tougher than ever. These shoe cleaners, polishes and balsams will see you through every scuff, kick and stage-dive, while our diverse mix of laces allows you to personalize and maximize your individual style. ";Shoe Care;/us/en/,/us/en/accessories/c/07000000,/us/en/accessories/shoecare--laces-and-insoles/c/07590000;Home,ACCESSORIES,SHOECARE, LACES AND INSOLES
07600000;https://www.drmartens.com/us/en/accessories/socks/c/07600000;Socks | Dr. Martens Official;"
                    Every pair of Doc’s needs a standout pair of socks. In this collection, you’ll find a bold range of printed socks as well as our renowned ‘Doc Socks’ — specially engineered to provide extra padding and slip resistance. ";Socks;/us/en/,/us/en/accessories/c/07000000;Home,ACCESSORIES
07610000;https://www.drmartens.com/us/en/accessories/mens/c/07610000;Men's Accessories | Accessories | Dr. Martens Official;"
                    Dr. Martens men's accessories range from robust leather bags to warm wool scarves, all manufactured with our renowned durability. Use them for practicality and to add some attitude to your look. ";Mens Accessories;/us/en/,/us/en/accessories/c/07000000;Home,ACCESSORIES
02010003;https://www.drmartens.com/us/en/mens/boots/utility-boots/c/02010003;Men's Utility Boots | Dr. Martens Official;"
                     ";Men's Utility Boots;/us/en/,/us/en/mens/c/02000000,/us/en/mens/boots/c/02010000;Home,MENS,BOOTS
07576800;https://www.drmartens.com/us/en/accessories/bags/mens/c/07576800;Men's Bags & Wallets | Dr. Martens Official;"
                    Dr. Martens bags are built like our shoes: tough. Our collection of men's bags includes backpacks, satchels and messenger bags, all designed to amplify your individual style. With leather bags as well as vegan bags, they're manufactured to provide maximum functionality and comfort. ";Mens Bags;/us/en/,/us/en/accessories/c/07000000,/us/en/accessories/bags/c/07570000;Home,ACCESSORIES,BAGS
03000000;https://www.drmartens.com/us/en/kids/c/03000000;Kids Boots & Shoes | Dr. Martens Official;"
                    Dr. Martens kids' shoes empower the next generation of rebellious thinkers. From little feet taking their first steps to youngsters starting school: explore a mix of iconic designs, patterns and styles for newborns, toddlers and juniors. ";Kids Boots & Shoes;/us/en/;Home
03250000;https://www.drmartens.com/us/en/kids/youth/c/03250000;Big Kids Boots & Shoes | Kids | Dr. Martens Official;"
                    At Dr. Martens, we believe individuality and self-expression start young. Our collection of youth shoes consists of authentic Docs boots such as the 1460 boot and the 3989 brogue, in upcoming-rebel sizes. In a diverse range of designs and colors, each pair combines our signature AirWair soles with a lightweight feel. ";Youth Boots & Shoes;/us/en/,/us/en/kids/c/03000000;Home,KIDS
03240000;https://www.drmartens.com/us/en/kids/junior/c/03240000;Little Kids Boots & Shoes | Kids | Dr. Martens Official;"
                    At Dr. Martens, we believe in self-expression no matter what age. Our Kids' boots and shoes are perfect for young rebels-in-the-making. With a collection of little kids' shoes including contemporary twists on iconic designs, you're sure to find their first pair.
 ";Junior Boots & Shoes;/us/en/,/us/en/kids/c/03000000;Home,KIDS
03230000;https://www.drmartens.com/us/en/kids/toddler-shoes-and-boots/c/03230000;Toddler Boots & Shoes | Kids | Dr. Martens Official;"
                    Docs comfort and attitude for the smallest feet: this is where you'll find their first pair. In our toddler range, our authentic heritage and original quality is carried through to the tiniest sizes, so every mini rebel is kitted out. ";Toddler Boots & Shoes;/us/en/,/us/en/kids/c/03000000;Home,KIDS
03220000;https://www.drmartens.com/us/en/kids/baby-and-infant-boots-and-shoes/c/03220000;Baby Boots & Shoes | Kids | Dr. Martens Official;"
                    Dr. Martens comfort and attitude for the smallest feet: this is where you'll find their first pair. From newborn to first steps, our authentic heritage and quality is carried through to the tiniest sizes so every mini rebel is kitted out. ";Baby & Infant Boots & Shoes;/us/en/,/us/en/kids/c/03000000;Home,KIDS
03000000;https://www.drmartens.com/us/en/kids/c/03000000;Kids Boots & Shoes | Dr. Martens Official;"
                    Dr. Martens kids' shoes empower the next generation of rebellious thinkers. From little feet taking their first steps to youngsters starting school: explore a mix of iconic designs, patterns and styles for newborns, toddlers and juniors. ";Kids Boots & Shoes;/us/en/;Home
03200000;https://www.drmartens.com/us/en/kids/girls/c/03200000;Girls' Boots & Shoes | Kids | Dr. Martens Official;"
                    Drawing on decades of alternative heritage, our Kids' collections aim to empower the next generation of freethinking individuals. Durable and resilient, Dr. Martens girls' boots and shoes are perfect for tough rebels-in-the-making. Find their first pair here. ";Girls Boots & Shoes;/us/en/,/us/en/kids/c/03000000;Home,KIDS
03210000;https://www.drmartens.com/us/en/kids/boys/c/03210000;Boys' Boots & Shoes | Kids | Dr. Martens Official;"
                    Drawing on decades of alternative heritage, our Kids' collections aim to empower the next generation of freethinking individuals. Durable and resilient, Dr. Martens boys' boots and shoes are perfect for tough rebels-in-the-making. Find their first pair here. ";Boy's Boots & Shoes;/us/en/,/us/en/kids/c/03000000;Home,KIDS
08000000;https://www.drmartens.com/us/en/sale/c/08000000;Sale | Dr. Martens Official;"
                    Check out our sale. We've got stacks of Docs on offer so get them before they're gone. Shop our clearance below. ";Sale;/us/en/;Home
06000000;https://www.drmartens.com/us/en/originals-boots-and-shoes/c/06000000;Original Boots & Shoes | Dr. Martens Official;"
                    Designed for industry. Championed through music. Our Originals were first built decades ago and have become iconic through our many wearers. Renowned for their durability, the collection includes men's boots, shoes and loafers which stay true to our heritage and DNA. ";Originals Boots & Shoes;/us/en/;Home
